
equipment Ring_Of_Fury:
	TYPE	RING
	RATE	COMMON
	STRG	1
	DESC	"Boosts the strength of the user"
	COST	28

equipment Chain_Necklace:
	TYPE	NECKLACE
	RATE	COMMON
	SPD	-1
	DEFC	1
	DESC	"Heavy necklace will reduce physical damage"
	COST	20

equipment Heart_Of_The_Swamp:
	TYPE	NECKLACE
	RATE	VERY_RACE
	COST	59
	DESC	"Gives poisen immunity"
	%POISON_IMMUNE

equipment Rusty_Token:
	TYPE	ARTEFACT
	RATE	UNCOMMON
	+Iron_Defence
	DESC	"Gives access to the attack Iron Defence"
	COST	31
	
equipment Lucky_Gloves:
	TYPE	GLOVES
	RATE	COMMON
	COST	41
	LUCK	2
	DESC	"Oddly colored gloves, rumors have it that they give great luck"		
